281,20
280,10
279,10
278,10
277,10
276,10
275,10
272,20
271,10
270,10
269,10
266,10
265,10
264,10
263,10
262,10
260,10
259,10
258,10
257,10
256,10
255,30
254,10
253,10
250,10
248,10
246,10
244,10
242,10
240,10
239,10
238,10
237,10
236,20
235,10
233,10
232,10
229,10
228,10
227,10
223,10
220,10
218,10
217,10
216,10
214,10
213,10
212,10
211,10
210,10
209,10
208,10
205,10
203,20
202,20
201,10
200,10
199,10
197,10
196,10
195,20
194,10
192,40
191,10
190,20
189,40
188,10
187,30
185,20
184,10
182,10
180,10
177,10
175,10
170,10
168,10
164,10
160,10
159,10
157,10
156,10
155,10
154,10
153,10
152,10
151,10
150,10
148,10
147,10
145,10
144,10
143,10
142,30
140,10
138,10
137,10
136,10
135,10
134,10
132,10
131,10
130,10
129,10
124,10
121,10
120,20
119,10
117,10
116,10
115,10
113,10
111,10
110,10
109,10
107,20
105,10
104,20
100,10
99,10
98,10
97,10
96,10
95,10
94,10
93,10
92,10
91,10
90,10
89,10
86,10
85,10
80,10
79,10
78,10
77,10
76,10
75,20
74,10
73,10
72,10
70,10
69,20
68,10
67,10
65,10
64,10
63,10
62,10
61,10
60,10
59,10
58,10
57,20
55,10
54,10
52,10
51,20
50,30
49,10
48,10
46,20
45,10
44,10
43,10
42,10
40,10
39,10
38,50
37,10
35,20
34,10
33,10
32,10
31,20
30,30
29,10
28,10
27,10
26,10
25,10
24,10
23,10
22,10
261,3
234,3
219,3
206,3
178,3
172,3
167,3
128,3
274,4
273,4
268,4
267,4
252,4
251,4
249,4
247,4
245,4
243,4
241,4
231,4
230,4
226,4
225,4
224,4
222,4
221,4
215,4
207,4
204,4
198,4
193,4
183,4
181,4
179,4
176,4
174,4
173,4
171,4
169,4
166,4
165,4
163,4
162,4
161,4
149,4
139,4
133,4
127,4
126,4
125,4
123,4
122,4
118,4
114,4
112,4
101,4
98,4
88,4
87,4
84,4
83,4
82,4
81,4
53,4
47,4
41,4
36,4
20,4
