20,3
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,30
31,20
32,10
33,10
34,10
35,20
36,3
37,10
38,50
39,10
40,10
41,3
42,10
43,10
44,10
45,10
46,20
47,3
48,10
49,10
50,30
51,20
52,10
53,3
54,10
55,10
57,20
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
67,10
68,10
69,20
70,10
72,10
73,10
74,10
75,20
76,10
77,10
78,10
79,10
80,10
81,3
82,3
83,3
84,3
85,10
86,10
87,3
88,3
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
98,3
99,10
100,10
101,3
104,20
105,10
107,20
109,10
110,10
111,10
112,3
113,10
114,3
115,10
116,10
117,10
118,3
119,10
120,20
121,10
122,3
123,3
124,10
125,3
126,3
127,3
128,1
129,10
130,10
131,10
132,10
133,3
134,10
135,10
136,10
137,10
138,10
139,3
140,10
142,30
143,10
144,10
145,10
147,10
148,10
149,3
150,10
151,10
152,10
153,10
154,10
155,10
156,10
157,10
159,10
160,10
161,3
162,3
163,3
164,10
165,3
166,3
167,1
168,10
169,3
170,10
171,3
172,1
173,3
174,3
175,10
176,3
177,10
178,1
179,3
180,10
181,3
182,10
183,3
184,10
185,20
187,30
188,10
189,40
190,20
191,10
192,40
193,3
194,10
195,20
196,10
197,10
198,3
199,10
200,10
201,10
202,20
203,20
204,3
205,10
206,1
207,3
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,3
216,10
217,10
218,10
219,1
220,10
221,3
222,3
223,10
224,3
225,3
226,3
227,10
228,10
229,10
230,3
231,3
232,10
233,10
234,1
235,10
236,20
237,10
238,10
239,10
240,10
241,3
242,10
243,3
244,10
245,3
246,10
247,3
248,10
249,3
250,10
251,3
252,3
253,10
254,10
255,30
256,10
257,10
258,10
259,10
260,10
261,1
262,10
263,10
264,10
265,10
266,10
267,3
268,3
269,10
270,10
271,10
272,20
273,3
274,3
275,10
276,10
277,10
278,10
279,10
280,10
281,20
282,3
283,10
284,10
285,10
286,40
287,10
288,10
289,10
291,3
292,10
Cash001,10
Cash002,10
Cash003,10
Cash004,10
Cash005,3
Cash006,10
Cash007,10
Cash008,10
Cash009,10
Cash010,10
Cash011,3
Cash012,10
Cash013,10
Cash014,10
Cash015,10
Cash016,10
Cash017,10
Cash018,10
Cash019,10
Cash020,10
Cash021,10
Cash022,10
Cash023,10
Cash024,10
Cash025,10
Cash026,10
Cash027,10
Cash028,3
Cash029,1
Cash030,3
Cash031,10
Cash032,10
Cash033,10
Cash034,20
Cash035,10
Cash036,10
Cash037,3
Cash038,3
Cash039,1
Cash040,3
Cash041,3
Cash042,10
Cash043,10
Cash044,3
Cash045,3
Cash046,3
Cash047,10
Cash048,10
Cash049,20
Cash050,3
Cash051,10
Cash052,10
Cash053,10
Cash054,3
Cash055,3
Cash056,10
Cash057,3
Cash058,10
Cash059,10
Cash060,10
Cash061,10
Cash062,3
Cash063,3
Cash064,3
Cash065,20
Cash066,10
Cash067,10
Cash068,10
Cash069,3
Cash070,3
Cash071,3
Cash072,3
Cash073,10
Cash074,3
Cash075,1
Cash076,3
Cash077,3
Cash078,10
Cash079,3
Cash080,1
Cash081,10
Cash082,10
Cash083,10
Cash084,3
Cash085,3
Cash086,10
Cash087,10
Cash088,10
Cash089,3
Cash090,10
Cash091,10
Cash092,10
Cash093,3
Cash094,10
Cash095,10
Cash096,10
Cash097,10
Cash098,3
Cash099,20
Cash100,10
Cash101,3
Cash102,3
Cash103,3
Cash104,10
Cash105,10
Cash106,1
Cash107,10
Cash108,10
Cash109,3
Cash110,10
Cash111,10
Cash112,3
Cash113,10
Cash114,10
Cash115,10
Cash116,1
Cash117,3
Cash118,10
Cash119,3
Cash120,3
Cash121,3
Cash122,3
Cash123,10
Cash124,3
Cash125,3
Cash126,10
Cash127,3
Cash128,10
Cash129,3
Cash130,10
Cash131,10
Cash132,2
Cash133,1
Cash134,3
Cash135,1
Cash136,20
